Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-21 15:03:51.473522+0900 0x16b5     Activity    0x5c384              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:51.473541+0900 0x16b5     Activity    0x5c385              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:51.473543+0900 0x16b5     Activity    0x5c386              439    0    PriTypeV2: (InputMethodKit) Get valid marked text attributes
2026-04-21 15:03:51.474112+0900 0x16b5     Default     0x0                  439    0    PriTypeV2: (InputMethodKit) <private>
2026-04-21 15:03:51.474113+0900 0x16b5     Activity    0x5c387              439    0    PriTypeV2: (InputMethodKit) Set value for tag
2026-04-21 15:03:51.485026+0900 0x16b5     Activity    0x5c388              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:53.306436+0900 0x16b5     Activity    0x5c389              439    0    PriTypeV2: (InputMethodKit) Activate Server
2026-04-21 15:03:53.306442+0900 0x16b5     Activity    0x5c38a              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:53.306469+0900 0x16b5     Activity    0x5c38b              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:53.306473+0900 0x16b5     Activity    0x5c38c              439    0    PriTypeV2: (InputMethodKit) Get valid marked text attributes
2026-04-21 15:03:53.307356+0900 0x16b5     Default     0x0                  439    0    PriTypeV2: (libxpc.dylib) [com.apple.xpc:connection] [0x87297d200] invalidated because the current process cancelled the connection by calling xpc_connection_cancel()
2026-04-21 15:03:53.307417+0900 0x16b5     Activity    0x5c38d              439    0    PriTypeV2: (InputMethodKit) Deactivate Server
2026-04-21 15:03:53.307419+0900 0x16b5     Activity    0x5c38e              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:53.307808+0900 0x1ce25    Default     0x0                  439    0    PriTypeV2: (libxpc.dylib) [com.apple.xpc:connection] [0x87297e880] activating connection: mach=false listener=false peer=true name=com.apple.xpc.anonymous.0x872c64dc0.peer[922].0x87297e880
2026-04-21 15:03:53.307931+0900 0x16b5     Activity    0x5c38f              439    0    PriTypeV2: (InputMethodKit) Deactivate Server
2026-04-21 15:03:53.307932+0900 0x16b5     Activity    0x5c440              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:53.316181+0900 0x16b5     Activity    0x5c441              439    0    PriTypeV2: (InputMethodKit) Deactivate Server
2026-04-21 15:03:53.316184+0900 0x16b5     Activity    0x5c442              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:04:31.380363+0900 0x1cf1d    Default     0x0                  439    0    PriTypeV2: (libxpc.dylib) [com.apple.xpc:connection] [0x87297e280] activating connection: mach=false listener=false peer=true name=com.apple.xpc.anonymous.0x872c64dc0.peer[922].0x87297e280
2026-04-21 15:04:31.381231+0900 0x16b5     Activity    0x5c443              439    0    PriTypeV2: (InputMethodKit) Activate Server
2026-04-21 15:04:31.381237+0900 0x16b5     Activity    0x5c444              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:04:31.382062+0900 0x16b5     Activity    0x5c445              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:04:31.382066+0900 0x16b5     Activity    0x5c446              439    0    PriTypeV2: (InputMethodKit) Get valid marked text attributes
2026-04-21 15:04:31.384103+0900 0x16b5     Default     0x0                  439    0    PriTypeV2: (InputMethodKit) <private>
2026-04-21 15:04:31.384106+0900 0x16b5     Activity    0x5c447              439    0    PriTypeV2: (InputMethodKit) Set value for tag
2026-04-21 15:04:31.384523+0900 0x16b5     Activity    0x5c448              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:04:31.384664+0900 0x16b5     Activity    0x5c449              439    0    PriTypeV2: (CoreFoundation) Loading Preferences From User CFPrefsD
2026-04-21 15:04:33.594867+0900 0x16b5     Activity    0x5c44a              439    0    PriTypeV2: (InputMethodKit) Deactivate Server
2026-04-21 15:04:33.594873+0900 0x16b5     Activity    0x5c44b              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:04:33.845978+0900 0x16b5     Activity    0x5c44c              439    0    PriTypeV2: (InputMethodKit) Activate Server
2026-04-21 15:04:33.845985+0900 0x16b5     Activity    0x5c44d              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
